traducao|verbo|exemplo|nivel
mentir|lügen|Du sollst nicht lügen.|B1
gerenciar|managen|Sie managt ein internationales Projekt.|B1
avisar, reportar, registrar|melden|Bitte melden Sie sich am Empfang.|B1
alugar|mieten|Wir möchten ein Auto mieten.|B1
mobilizar|mobilisieren|Die neue Kampagne soll die Wähler mobilisieren.|B1
modernizar|modernisieren|Die alte Küche wird modernisiert.|B1
mobiliar|möblieren|Die Wohnung ist komplett möbliert.|B1
pensar sobre|nachdenken über A|Ich muss über dein Angebot nachdenken.|B1
reabastecer, recarregar|nachfüllen|Kannst du bitte den Drucker nachfüllen?|B1
usar, aproveitar|nutzen|Nutzen Sie die Gelegenheit!|B1
abrir|öffnen|Das Geschäft öffnet um 9 Uhr.|B1
assobiar|pfeifen|Er pfeift ein Lied.|B1
plantar|pflanzen|Wir pflanzen Bäume im Garten.|B1
colher (flores, frutas)|pflücken|Die Kinder pflücken Blumen.|B1
filosofar|philosophieren|Sie sitzen oft zusammen und philosophieren über das Leben.|B1
premiar|prämieren|Der beste Film wurde prämiert.|B1
calcular, contar|rechnen|Kannst du schnell rechnen?|B1
reduzir|reduzieren|Wir müssen den Müll reduzieren.|B1
regularmente (usado como advérbio, mas pode implicar ação regular)|regelmäßig|Man sollte regelmäßig Sport treiben.|B1
limpar, purificar|reinigen|Die Kleidung muss gereinigt werden.|B1
reclamar|reklamieren|Ich möchte diese Ware reklamieren.|B1
salvar|retten|Die Feuerwehr konnte das Kind retten.|B1
arriscar|riskieren|Er riskiert alles für seinen Traum.|B1
rolar|rollen|Der Ball rollt den Hügel hinunter.|B1
dizer|sagen|Was hast du gesagt?|B1
salgar|salzen|Bitte salzen Sie das Essen.|B1
conseguir, criar, dar conta|schaffen|Ich schaffe das!|B1
estimar, valorizar|schätzen|Ich schätze deine Hilfe sehr.|B1
brilhar, parecer|scheinen|Die Sonne scheint heute.|B1
empurrar, deslizar|schieben|Schieb den Stuhl näher heran.|B1
ruim, grave (usado com sein)|schlimm|Das ist nicht so schlimm.|B1
forçar para fora, empurrar|abdrängen|Das Auto wurde von der Straße abgedrängt.|B2
partir (veículo), desviar|abfahren|Der Zug ist pünktlich abgefahren.|B2
sacar (dinheiro), decolar|abheben|Ich möchte Geld vom Konto abheben.|B2
interceptar, escutar clandestinamente|abhören|Der Geheimdienst hat seine Telefongespräche abgehört.|B2
substituir, descolar-se de|ablösen von D|Der neue Chef löst den alten ab.|B2
remover (veículo), rebocar|abschleppen|Mein Auto wurde abgeschleppt.|B2
cortar, obter (resultado)|abschneiden|Er hat bei der Prüfung gut abgeschnitten.|B2
garantir, proteger|absichern|Man muss die Baustelle absichern.|B2
dividir, separar|abteilen|Der Raum kann abgeteilt werden.|B2
atropelar (com veículo), iniciar a marcha|anfahren|Der Busfahrer hat eine Person angefahren.|B2
informar, indicar, vangloriar-se|angeben|Bitte geben Sie Ihre Daten an.|B2
liderar, citar|anführen|Er führte die Gruppe an.|B2
persistente (usado como advérbio)|anhaltend|Der Regen hält anhaltend an.|B2
impulsionar, estimular|ankurbeln|Die Wirtschaft muss angekurbelt werden.|B2
afivelar (cinto de segurança)|anschnallen|Bitte schnallen Sie sich an.|B2
represar, acumular|anstauen|Das Wasser wird angestaut.|B2
instruir, designar|anweisen|Er wurde angewiesen, die Arbeit zu erledigen.|B2
expandir, aprimorar, desmontar|ausbauen|Wir wollen unser Geschäft ausbauen.|B2
ser cancelado, cair (cabelo), faltar|ausfallen|Der Unterricht ist heute ausgefallen.|B2
equipar com|ausstatten mit D|Das Zimmer ist mit modernen Möbeln ausgestattet.|B2
extinguir-se|aussterben|Viele Tierarten sterben aus.|B2
emitir, expelir|ausstoßen|Fabriken stoßen viel CO2 aus.|B2
expandir-se, alargar-se|ausweiten (sich)|Der Konflikt könnte sich ausweiten.|B2
processar, editar|bearbeiten|Ich muss das Dokument bearbeiten.|B2
reivindicar, exigir, sobrecarregar|beanspruchen|Die Arbeit beansprucht viel Zeit.|B2
trafegar, navegar (por);|befahren|Dieses Gebiet darf nicht befahren werden.|B2
promover, transportar|befördern|Er wurde zum Abteilungsleiter befördert.|B2
temer, recear|befürchten|Ich befürchte das Schlimmste.|B2
compreender, entender|begreifen|Ich begreife das Problem nicht.|B2
confessar, declarar-se|bekennen (sich)|Er hat sich zu seiner Schuld bekannt.|B2
onerar, carregar, poluir|belasten|Der Verkehr belastet die Umwelt.|B2
incomodar, assediar|belästigen|Er hat sie belästigt.|B2
necessitar, precisar|benötigen|Wir benötigen mehr Informationen.|B2
dar nota, classificar|benoten|Der Lehrer benotet die Schüler.|B2
esconder, conter, resgatar|bergen|Die Truhe birgt einen Schatz.|B2
ocupar, preencher (cargo);|besetzen|Die Stelle ist bereits besetzt.|B2
eliminar, remover|beseitigen|Man muss das Problem beseitigen.|B2
confirmar, comprovar|bestätigen|Bitte bestätigen Sie den Empfang der E-Mail.|B2
ativar-se, exercer (atividade);|betätigen (sich)|Er betätigt sich politisch.|B2
operar, praticar, exercer|betreiben|Er betreibt ein kleines Geschäft.|B2
colocar na cama, encaixar|betten|Sie bettete das Baby sanft in sein Bett.|B2
preservar, guardar|bewahren|Man muss die Natur bewahren.|B2
avaliar, julgar|bewerten|Der Professor bewertet die Arbeiten.|B2
conceder, autorizar|bewilligen|Der Antrag wurde bewilligt.|B2
amarrar, ligar, unir|binden|Er bindet seine Schuhe.|B2
soprar|blasen|Der Wind bläst stark.|B2
relampejar, piscar (radar)|blitzen|Es blitzt am Himmel.|B2
bloquear|blockieren|Die Straße ist blockiert.|B2
fabricar (cerveja), preparar (tempestade)|brauen|Er braut sein eigenes Bier.|B2
aplicar creme|cremen|Sie cremt sich jeden Morgen ein.|B2
amortecer, abafar, cozinhar a vapor|dämpfen|Der Vorhang dämpft das Licht.|B2
cobrir, pôr a mesa|decken|Sie deckt den Tisch für das Abendessen.|B2
realizar, executar|durchführen|Wir werden eine Umfrage durchführen.|B2
atravessar correndo, percorrer, passar por|durchlaufen|Er hat eine harte Schule durchlaufen.|B2
aceitar, atender (a), responder (a)|eingehen auf A|Er geht auf ihre Wünsche ein.|B2
intervir em|eingreifen in A|Die Regierung muss eingreifen.|B2
estimar, avaliar|einschätzen|Ich kann die Situation nicht einschätzen.|B2
matricular (criança) na escola|einschulen|Die Kinder werden im Herbst eingeschult.|B2
influenciar, agir sobre|einwirken auf A|Das Medikament wirkt auf den Körper ein.|B2
terminar, finalizar|enden|Die Vorstellung endet um 22 Uhr.|B2
não ter, carecer de|entbehren|Die Geschichte entbehrt jeder Logik.|B2
contra-agir, combater|entgegenwirken|Man muss den Problemen entgegenwirken.|B2
invalidar, desvalorizar|entwerten|Bitte entwerten Sie Ihre Fahrkarte.|B2
exigir, requerer|erfordern|Diese Aufgabe erfordert viel Geduld.|B2
resultar, produzir, render-se|ergeben|Das Experiment ergab interessante Ergebnisse.|B2
agarrar, tomar (medidas);|ergreifen|Die Regierung ergriff Maßnahmen gegen die Krise.|B2
manter, receber, obter|erhalten|Ich habe eine E-Mail erhalten.|B2
promulgar (lei), perdoar|erlassen|Das Parlament hat ein neues Gesetz erlassen.|B2
renovar|erneuern|Wir müssen die alte Heizung erneuern.|B2
adquirir, obter|erwerben|Er hat sich neue Sprachkenntnisse erworben.|B2
gerar (lucro), produzir|erwirtschaften|Das Unternehmen erwirtschaftete einen hohen Gewinn.|B2
produzir, gerar|erzeugen|Dieses Kraftwerk erzeugt Strom.|B2
fazer chanfro, biselar (termo técnico)|fasen|Die Kante muss noch gefast werden.|B2
tingir, colorir|färben|Sie lässt sich die Haare färben.|B2
engraxar, lubrificar|fetten|Man muss die Kette fetten.|B2
fixar, determinar|festlegen|Der Termin wurde festgelegt.|B2
segurar firmemente, registrar|festhalten|Halten Sie sich gut fest!|B2
filtrar|filtern|Das Wasser muss gefiltert werden.|B2
florescer, prosperar|florieren|Das Geschäft floriert gut.|B2
moldar, formar|formen|Der Künstler formt eine Skulptur aus Ton.|B2
aperfeiçoar-se, fazer formação continuada|fortbilden (sich)|Er bildet sich ständig fort.|B2
progredir, avançar|fortschreiten|Die Forschung schreitet schnell fort.|B2
comer (para animais), devorar|fressen|Der Hund frisst sein Futter.|B2
conduzir, liderar|führen|Sie führt das Unternehmen erfolgreich.|B2
emitir faíscas, transmitir por rádio|funken|Der Funke funkelt im Dunkeln.|B2
basear-se em|fußen auf D|Seine Theorie fußt auf vielen Experimenten.|B2
alimentar|füttern|Wir müssen die Tiere füttern.|B2
dar à luz|gebären|Sie hat ein gesundes Kind geboren.|B2
ordenar, exigir|gebieten|Die Situation gebietet schnelles Handeln.|B2
ser devido, caber (a)|gebühren|Es gebührt ihm Respekt.|B2
ter sucesso, conseguir|gelingen|Das Experiment ist gelungen.|B2
aprovar, autorizar|genehmigen|Der Antrag wurde genehmigt.|B2
cair, parar em, entrar em (situação)|geraten|Er ist in Schwierigkeiten geraten.|B2
dar forma, criar, organizar|gestalten|Wir gestalten unsere Zukunft selbst.|B2
garantir|gewährleisten|Der Staat muss die Sicherheit gewährleisten.|B2
ganhar, obter|gewinnen|Wir müssen das Spiel gewinnen.|B2
pastar|grasen|Die Kühe grasen auf der Wiese.|B2
recorrer a, usar (algo);|greifen zu D|Er greift zu drastischen Maßnahmen.|B2
criar (filhos), educar|großziehen|Sie hat ihre Kinder allein großgezogen.|B2
gerenciar o orçamento, economizar|haushalten|Man muss gut haushalten, um Geld zu sparen.|B2
bater, golpear|hauen|Er hat mit dem Hammer auf den Nagel gehauen.|B2
curar|heilen|Der Arzt konnte die Wunde heilen.|B2
provocar, causar|hervorrufen|Das Ereignis rief große Freude hervor.|B2
ajoelhar-se|knien|Er kniete nieder, um zu beten.|B2
compostar|kompostieren|Wir kompostieren unsere Bioabfälle.|B2
confeccionar, montar|konfektionieren|Die Kleider werden hier konfektioniert.|B2
consumir|konsumieren|Die Bevölkerung konsumiert viel Zucker.|B2
acorrentar|ketten|Der Hund ist angekettet.|B2
vestir, adequar-se (roupa)|kleiden|Diese Farbe kleidet dich gut.|B2
aplaudir, fofocar|klatschen|Das Publikum klatschte laut.|B2
fazer barulho|lärmen|Die Kinder lärmen im Garten.|B2
legalizar|legalisieren|Die Regierung will das Gesetz legalisieren.|B2
entregar, fornecer|liefern|Die Firma liefert die Waren am Dienstag.|B2
listar, enumerar|listen|Bitte listen Sie alle Punkte auf.|B2
mirar em, visar (algo);|münzen auf A|Die Bemerkung war auf mich gemünzt.|B2
investigar, seguir (uma atividade);|nachgehen|Die Polizei geht einem Hinweis nach.|B2
comprovar, provar|nachweisen|Er konnte seine Unschuld nachweisen.|B2
depor, renunciar, deitar (algo)|niederlegen|Der Präsident hat sein Amt niedergelegt.|B2
caber a, ser da responsabilidade de|obliegen|Diese Aufgabe obliegt dem Teamleiter.|B2
cuidar, cultivar|pflegen|Sie pflegt ihre Großmutter.|B2
peregrinar|pilgern|Viele Menschen pilgern nach Santiago de Compostela.|B2
estourar, rebentar|platzen|Der Ballon ist geplatzt.|B2
colar cartazes|plakatieren|Man darf hier keine Plakate plakatieren.|B2
louvar, elogiar|preisen|Er preist die Vorzüge des neuen Produkts.|B2
pressionar, espremer|pressen|Sie presst den Saft aus den Orangen.|B2
qualificar-se para|qualifizieren (sich für A)|Sie hat sich für die Weltmeisterschaft qualifiziert.|B2
correr em alta velocidade, enfurecer-se|rasen|Das Auto rast über die Autobahn.|B2
murmurar (água, vento), zumbir|rauschen|Der Wind rauscht in den Bäumen.|B2
mover-se, agitar-se (raro)|regen (sich)|Es regt sich etwas im Gebüsch.|B2
limpar|reinigen|Die Kleidung muss gereinigt werden.|B2
lutar, espremer|ringen|Er ringt um Fassung.|B2
descansar|ruhen|Er ruht sich nach der Arbeit aus.|B2
ungir, aplicar pomada|salben|Der Apotheker salbt die Wunde.|B2
danificar, prejudicar|schädigen|Rauchen schädigt die Gesundheit.|B2
mudar (marcha), ligar/desligar|schalten|Bitte schalten Sie den Motor ein.|B2
tosquiar, barbear (arcaico), importar-se (coloquial)|scheren|Das schert mich nicht!|C1
engolir|schlucken|Er schluckt die Tablette.|B2
ter gosto de|schmecken nach D|Der Kuchen schmeckt nach Zitrone.|A2
maquiar-se|schminken|Sie schminkt sich jeden Morgen.|B1
sacudir, tremer|schütteln|Er schüttelt den Kopf.|B1
derramar, despejar|schütten|Sie schüttet Wasser in den Eimer.|B2
suar|schwitzen|Ich schwitze, weil es so heiß ist.|B1
velejar|segeln|Wir segeln auf dem See.|A2
baixar, diminuir|senken|Man muss die Kosten senken.|B1
pensar profundamente, meditar (arcaico ou poético)|sinnen|Er sinnt über seine Zukunft nach.|C1
afundar, diminuir|sinken|Die Temperaturen sind gesunken.|B1
brincar, fazer piada|spaßen|Er spaßt gerne mit seinen Freunden.|B2
esticar, tensionar|spannen|Spann den Bogen!|B2
comer (formal), jantar|speisen|Wir speisen heute Abend im Restaurant.|B2
oferecer, custear|spendieren|Er spendiert uns einen Kaffee.|B2
bloquear, fechar, proibir o acesso|sperren|Die Straße ist gesperrt.|B1
apontar (lápis), afiar|spitzen|Er spitzt seinen Bleistift.|B2
injetar, espirrar|spritzen|Der Arzt spritzt ihm ein Medikament.|B1
originar-se de, provir de|stammen aus D|Er stammt aus einer alten Familie.|B2
represar, acumular|stauen|Der Verkehr staut sich auf der Autobahn.|B2
picar, espetar|stechen|Die Biene hat mich gestochen.|B1
roubar|stehlen|Jemand hat mein Fahrrad gestohlen.|A2
aumentar, intensificar|steigern|Man muss die Produktion steigern.|A2
colocar, estar, ficar|stecken|Der Schlüssel steckt im Schloss.|A2
colocar (em pé), pôr|stellen|Stell die Flasche auf den Tisch.|A2
parar, hesitar, estagnar|stocken|Der Verkehr stockt auf der Autobahn.|B2
empurrar, colidir, chutar (bola);|stoßen|Er hat sich am Kopf gestoßen.|B2
encalhar, naufragar, ficar preso|stranden|Das Schiff ist gestrandet.|B2
aspirar a, esforçar-se por|streben nach D|Er strebt nach Perfektion.|B2
esticar|strecken|Streck deine Arme nach oben.|B1
cair (subitamente), derrubar|stürzen|Er ist die Treppe hinuntergestürzt.|B2
apertar, apalpar, tatear|tasten|Sie tastete nach dem Lichtschalter.|B2
mergulhar|tauchen|Ich tauche gerne im Meer.|B1
dividir, compartilhar|teilen|Wir teilen uns ein Zimmer.|B1
tiquetaquear, funcionar (coloquial);|ticken|Die Uhr tickt laut.|B2
matar|töten|Der Jäger tötet das Tier.|B1
carregar, vestir|tragen|Sie trägt eine Tasche.|A1
preguiçoso, inerte (usado como adjetivo, mas pode implicar estado);|träge|Er ist sehr träge geworden.|B2
treinar|trainieren|Ich trainiere dreimal pro Woche.|A2
transportar|transportieren|Die Waren werden mit dem LKW transportiert.|B1
praticar (esporte), impulsionar|treiben|Er treibt viel Sport.|A2
fiel (usado como adjetivo, mas pode implicar ação);|treu|Er ist ein treuer Freund.|A2
seco (usado como adjetivo, mas pode implicar estado);|trocken|Der Boden ist trocken.|A2
pingar|tropfen|Wasser tropft aus dem Wasserhahn.|B1
fazer, pôr|tun|Was tust du gerade?|A2
revisar, reformular|überarbeiten|Ich muss meine Präsentation überarbeiten.|B2
ultrapassar|überholen|Das Auto hat den LKW überholt.|A2
deixar (para alguém), ceder|überlassen|Ich überlasse dir die Entscheidung.|B2
assumir, encarregar-se|übernehmen|Er hat die Leitung des Projekts übernommen.|B1
transmitir, transferir, traduzir|übertragen|Das Spiel wird live übertragen.|B2
convencer|überzeugen|Er konnte sie von seiner Idee überzeugen.|B1
abranger, incluir|umfassen|Der Bericht umfasst alle wichtigen Punkte.|B2
lidar com, manusear|umgehen mit D|Sie kann gut mit Stress umgehen.|B2
transformar, converter|umwandeln|Man kann Sonnenenergie in Strom umwandeln.|B2
empreender, fazer (uma atividade);|unternehmen|Wir wollen etwas zusammen unternehmen.|B1
ensinar|unterrichten|Sie unterrichtet Deutsch an der Schule.|B1
sublinhar, enfatizar|unterstreichen|Bitte unterstreichen Sie die wichtigen Wörter.|B1
apoiar, sustentar|unterstützen|Ich unterstütze dich bei deinem Vorhaben.|B1
combinar um encontro com|verabreden (sich mit D)|Ich habe mich mit einem Freund verabredet.|B1
provocar, mandar (fazer algo);|veranlassen|Was hat diese Reaktion veranlasst?|B2
conectar, unir, ligar (telefone);|verbinden|Ich verbinde Sie mit der Zentrale.|B2
proibir|verbieten|Rauchen ist hier verboten.|B1
queimar, incinerar|verbrennen|Das Holz verbrennt im Ofen.|B1
melhorar|verbessern|Sie möchte ihre Deutschkenntnisse verbessern.|A2
estragar, mimar|verderben|Die Hitze hat das Essen verdorben.|B2
duplicar, dobrar|verdoppeln (sich)|Die Zahl der Anmeldungen hat sich verdoppelt.|B1
proceder, agir, perder-se (no caminho);|verfahren|Wie sollen wir jetzt verfahren?|B2
envenenar|vergiften|Die Chemikalien haben das Wasser vergiftet.|B2
aumentar, ampliar|vergrößern (sich)|Das Unternehmen will sich vergrößern.|B1
negociar|verhandeln|Wir müssen über den Preis verhandeln.|B2
trafegar, frequentar (locais);|verkehren|Es verkehren viele Züge auf dieser Strecke.|C1
diminuir, reduzir|verkleinern (sich)|Die Gruppe hat sich verkleinert.|B1
desacelerar, retardar|verlangsamen|Man muss den Prozess verlangsamen.|B2
prolongar, estender|verlängern|Ich möchte meinen Mietvertrag verlängern.|B1
alugar (para outros)|vermieten|Sie vermietet eine Wohnung.|A2
intermediar, transmitir|vermitteln|Er vermittelt zwischen den Parteien.|B2
alimentar, prover alimentação|verpflegen|Die Gäste wurden gut verpflegt.|B2
diminuir, reduzir|verringern (sich)|Der Lärm hat sich verringert.|B1
executar, realizar (trabalho);|verrichten|Er verrichtet seine Arbeit gewissenhaft.|B2
contaminar, infestar|verseuchen|Das Gebiet wurde verseucht.|B2
assegurar, garantir|versichern|Ich versichere Ihnen, dass alles in Ordnung ist.|B2
fornecer, abastecer com|versorgen (mit D)|Wir versorgen die Stadt mit Strom.|B2
administrar, gerenciar|verwalten|Sie verwaltet das Büro.|B2
transformar|verwandeln|Der Frosch verwandelte sich in einen Prinzen.|B2
evitar|vermeiden|Man sollte Fehler vermeiden.|B2
registrar, anotar|verzeichnen|Das Unternehmen verzeichnete hohe Gewinne.|B2
renunciar a, abrir mão de|verzichten auf A|Ich verzichte auf Zucker in meinem Kaffee.|B1
executar, realizar (formal)|vollziehen|Der Richter vollzieht das Urteil.|B2
pressupor, exigir como pré-requisito|voraussetzen|Das Studium setzt gute Englischkenntnisse voraus.|B2
prescrever, determinar|vorschreiben|Der Arzt hat mir Ruhe verschrieben.|B2
prevenir, tomar precauções|vorsorgen|Man sollte für das Alter vorsorgen.|B2
ousar, atrever-se|wagen|Er wagte einen Sprung ins kalte Wasser.|B2
transformar, mudar|wandeln|Die Landschaft wandelt sich im Herbst.|B2
esperar por|warten auf A|Ich warte auf dich.|A2
acordar (alguém);|wecken|Kannst du mich morgen früh wecken?|A2
chorar|weinen|Das Baby weint.|A2
apontar, indicar|weisen|Er weist auf das Schild.|B2
anunciar, recrutar|werben|Die Firma wirbt für ihre Produkte.|B1
trabalhar, fazer trabalhos manuais|werken|Er werkt gerne in seiner Werkstatt.|B2
avaliar, valorizar|werten|Der Coach wertet die Leistung der Spieler.|B2
apostar|wetten|Ich wette, dass es regnen wird.|B2
acenar|winken|Sie winkt mir zum Abschied.|B1
limpar (com pano), esfregar|wischen|Wisch bitte den Tisch ab.|B2
saber|wissen|Ich weiß die Antwort nicht.|A1
desejar, querer|wünschen (sich)|Ich wünsche mir ein neues Buch.|A2
contar|zählen|Die Kinder zählen ihre Spielsachen.|A2
mirar, ter como objetivo|zielen|Er zielt auf die Zielscheibe.|B2
puxar, mudar (de roupa/lugar), arrastar|ziehen|Zieh die Tür zu!|B1
preparar (comida)|zubereiten|Sie bereitet ein leckeres Essen zu.|B1
escutar (com atenção)|zuhören|Bitte hör mir zu!|A2
fechar|zumachen|Kannst du bitte das Fenster zumachen?|A1
lidar com, dar conta de|zurechtkommen|Ich komme mit der Situation zurecht.|B2
suficiente (usado como adjetivo, mas pode implicar estar disponível);|zureichend|Die Informationen sind nicht zureichend.|C2
colapsar, desabar|zusammenbrechen|Das alte Gebäude ist zusammengebrochen.|B2
resumir|zusammenfassen|Fassen Sie die wichtigsten Punkte zusammen.|B1
estar relacionado com|zusammenhängen mit D|Das Problem hängt mit dem Wetter zusammen.|B2
viver junto com|zusammenleben mit D|Sie leben seit Jahren zusammen.|B1
colidir com|zusammenstoßen mit D|Das Auto ist mit einem Baum zusammengestoßen.|B1
entregar (correspondência);|zustellen|Der Postbote stellt die Briefe zu.|B2
coparticipar, pagar uma parte|zuzahlen|Patienten müssen einen Teil der Kosten zuzahlen.|B2
segundo (usado como numeral, mas pode implicar ordem);|zweit|Er ist der Zweite im Rennen.|B1
servir para (um propósito);|zwecken|Wozu zweckt dieses Werkzeug?|C1
